symbol,entry_date,exit_date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,exit,target,stoploss,pnl,returns
UBL,2019-09-03,2019-09-04,2019-09-26,2019-10-31,1320.5,1427.7,107.2,6.45,8.48,27.65,-14.75,Sell Spread,107.2,-3.9500000000000455,94.48,111.44,111.15000000000005,1.0368
UBL,2019-10-01,2019-10-03,2019-10-31,2019-11-28,1332.15,1385.1,52.95,6.54,8.64,28.14,-15.06,Sell Spread,52.95,-0.20000000000004547,39.99,57.27,53.15000000000005,1.0038
UBL,2019-10-04,2019-10-07,2019-10-31,2019-11-28,1274.4,1333.35,58.95,6.66,9.01,29.18,-15.86,Sell Spread,58.95,75.89999999999986,45.435,63.45500000000001,-16.94999999999986,-0.2875
UBL,2019-11-04,2019-11-05,2019-11-28,2019-12-26,1240.3,1271.45,31.15,6.81,9.53,30.64,-17.02,Sell Spread,31.15,12.700000000000045,16.855,35.915,18.449999999999953,0.5923
UBL,2020-03-05,2020-03-06,2020-03-26,2020-04-30,1246.9,1230.65,-16.25,6.58,9.06,29.23,-16.07,Buy Spread,-16.25,18.0,-2.66,-20.78,34.25,2.1077
UBL,2020-03-25,2020-03-26,2020-03-26,2020-04-30,876.2,841.5,-34.7,6.36,9.25,29.48,-16.76,Buy Spread,-34.7,-10.75,-20.825000000000006,-39.325,23.950000000000003,0.6902
UBL,2020-04-17,2020-04-20,2020-04-30,2020-05-28,936.4,918.4,-18.0,6.11,9.43,29.68,-17.46,Buy Spread,-18.0,2.6000000000000227,-3.855,-22.715,20.600000000000023,1.1444
VEDL,2018-10-01,2018-10-05,2018-10-25,2018-11-29,234.5,234.25,-0.25,1.06,0.45,2.18,-0.06,Buy Spread,-0.25,-0.8500000000000227,0.425,-0.475,-0.6000000000000227,-2.4
VEDL,2018-10-10,2018-10-11,2018-10-25,2018-11-29,218.75,218.15,-0.6,1.02,0.51,2.3,-0.25,Buy Spread,-0.6,-3.950000000000017,0.16500000000000006,-0.855,-3.350000000000017,-5.5833
VEDL,2018-10-19,2018-10-22,2018-10-25,2018-11-29,211.6,210.4,-1.2,0.95,0.67,2.62,-0.73,Buy Spread,-1.2,0.09999999999999432,-0.19499999999999984,-1.535,1.2999999999999943,1.0833
VEDL,2019-02-01,2019-02-05,2019-02-28,2019-03-28,162.95,162.05,-0.9,0.93,0.61,2.46,-0.59,Buy Spread,-0.9,0.35000000000002274,0.015000000000000013,-1.205,1.2500000000000226,1.3889
VEDL,2019-10-09,2019-10-22,2019-10-31,2019-11-28,146.6,145.9,-0.7,0.85,0.56,2.25,-0.55,Buy Spread,-0.7,0.45000000000001705,0.14000000000000012,-0.98,1.150000000000017,1.6429
VEDL,2020-02-26,2020-02-27,2020-02-27,2020-03-26,130.3,128.25,-2.05,0.77,0.57,2.19,-0.65,Buy Spread,-2.05,-3.000000000000014,-1.1949999999999998,-2.335,-0.9500000000000144,-0.4634
MINDTREE,2018-10-01,2018-10-03,2018-10-25,2018-11-29,1075.65,1095.0,19.35,2.26,4.39,13.24,-8.72,Sell Spread,19.35,4.0,12.765000000000002,21.545,15.350000000000001,0.7933
MINDTREE,2018-11-02,2018-11-06,2018-11-29,2018-12-27,806.2,820.0,13.8,2.48,4.38,13.43,-8.47,Sell Spread,13.8,3.1499999999999773,7.23,15.99,10.650000000000023,0.7717
MINDTREE,2019-02-01,2019-02-04,2019-02-28,2019-03-28,905.3,893.3,-12.0,2.7,4.06,12.85,-7.45,Buy Spread,-12.0,-0.7999999999999545,-5.91,-14.03,11.200000000000045,0.9333
MINDTREE,2019-05-08,2019-05-09,2019-05-30,2019-06-27,974.7,965.3,-9.4,2.81,3.89,12.54,-6.91,Buy Spread,-9.4,-2.400000000000091,-3.5650000000000004,-11.345,6.999999999999909,0.7447
MINDTREE,2019-05-14,2019-05-15,2019-05-30,2019-06-27,973.8,966.5,-7.3,2.72,3.94,12.57,-7.13,Buy Spread,-7.3,-1.0,-1.3899999999999997,-9.27,6.3,0.863
MINDTREE,2019-06-03,2019-06-04,2019-06-27,2019-07-25,976.95,957.05,-19.9,2.49,4.18,12.94,-7.96,Buy Spread,-19.9,-22.699999999999932,-13.63,-21.99,-2.799999999999933,-0.1407
MINDTREE,2019-06-06,2019-06-21,2019-06-27,2019-07-25,963.05,938.45,-24.6,2.34,4.63,13.92,-9.24,Buy Spread,-24.6,-30.850000000000023,-17.655,-26.915000000000006,-6.250000000000021,-0.2541
MINDTREE,2019-06-24,2019-06-26,2019-06-27,2019-07-25,947.9,904.05,-43.85,1.37,6.94,18.72,-15.98,Buy Spread,-43.85,-30.300000000000068,-33.44,-47.32,13.549999999999933,0.309
MINDTREE,2020-03-16,2020-03-17,2020-03-26,2020-04-30,773.3,755.05,-18.25,0.15,7.2,18.15,-17.85,Buy Spread,-18.25,-29.350000000000023,-7.449999999999998,-21.85,-11.100000000000023,-0.6082
MINDTREE,2020-03-18,2020-03-19,2020-03-26,2020-04-30,746.7,714.7,-32.0,0.03,7.44,18.63,-18.57,Buy Spread,-32.0,-17.25,-20.84,-35.72,14.75,0.4609
MINDTREE,2020-03-20,2020-03-23,2020-03-26,2020-04-30,811.9,783.5,-28.4,-0.05,7.57,18.88,-18.98,Buy Spread,-28.4,-37.39999999999998,-17.044999999999998,-32.185,-8.999999999999979,-0.3169
MINDTREE,2020-03-24,2020-03-25,2020-03-26,2020-04-30,769.75,734.1,-35.65,-0.19,7.89,19.53,-19.92,Buy Spread,-35.65,-90.35000000000002,-23.815,-39.595,-54.700000000000024,-1.5344
MINDTREE,2020-04-01,2020-04-03,2020-04-30,2020-05-28,738.75,712.35,-26.4,-0.55,9.36,22.85,-23.95,Buy Spread,-26.4,-0.8999999999999773,-12.36,-31.08,25.50000000000002,0.9659
MINDTREE,2020-04-17,2020-04-27,2020-04-30,2020-05-28,739.9,705.75,-34.15,-0.72,9.52,23.08,-24.52,Buy Spread,-34.15,-40.19999999999993,-19.87,-38.91,-6.049999999999933,-0.1772
MINDTREE,2020-07-16,2020-07-17,2020-07-30,2020-08-27,1004.95,964.8,-40.15,-1.89,10.23,23.68,-27.47,Buy Spread,-40.15,-3.4500000000000455,-24.805,-45.265,36.69999999999995,0.9141
IBULHSGFIN,2018-10-01,2018-10-05,2018-10-25,2018-11-29,909.65,899.85,-9.8,2.63,4.92,14.93,-9.67,Buy Spread,-9.8,-0.2999999999999545,-2.420000000000001,-12.260000000000002,9.500000000000046,0.9694
IBULHSGFIN,2019-08-13,2019-08-28,2019-08-29,2019-09-26,534.85,523.15,-11.7,1.64,4.47,12.82,-9.53,Buy Spread,-11.7,-15.900000000000034,-4.994999999999999,-13.935,-4.200000000000035,-0.359
IBULHSGFIN,2019-09-03,2019-09-09,2019-09-26,2019-10-31,417.0,401.15,-15.85,1.21,5.16,14.11,-11.69,Buy Spread,-15.85,-20.349999999999966,-8.11,-18.43,-4.499999999999966,-0.2839
IBULHSGFIN,2019-09-11,2019-09-17,2019-09-26,2019-10-31,413.65,398.15,-15.5,0.98,5.54,14.83,-12.87,Buy Spread,-15.5,-18.350000000000023,-7.19,-18.27,-2.8500000000000227,-0.1839
IBULHSGFIN,2019-09-18,2019-09-23,2019-09-26,2019-10-31,398.8,380.95,-17.85,0.75,5.86,15.4,-13.9,Buy Spread,-17.85,-24.25,-9.06,-20.78,-6.399999999999999,-0.3585
IBULHSGFIN,2019-09-24,2019-09-26,2019-09-26,2019-10-31,434.6,404.0,-30.6,0.52,6.31,16.29,-15.26,Buy Spread,-30.6,-8.849999999999966,-21.135,-33.755,21.750000000000036,0.7108
IBULHSGFIN,2019-10-03,2019-10-30,2019-10-31,2019-11-28,255.85,236.8,-19.05,0.35,6.53,16.68,-15.98,Buy Spread,-19.05,0.0,-9.255,-22.315,0.0,0.0
